Gemeinde,Postleitzahl,Lon,Lat,Bundesland,SchÅler
HÅrm,3382,48.2,15.4,Niederîsterreich,147
Illmitz,7142,47.7615,16.8002,Burgenland,147
Abfaltersbach,9913,46.778,12.5904,Tirol,147
Wallern an der Trattnach,4611,48.2192,14.0562,Oberîsterreich,146
Kainbach bei Graz,8010,47.0833,15.5417,Steiermark,146
Ennsdorf,4482,48.2118,14.5029,Niederîsterreich,146
Gschwandt,4664,47.9819,13.8217,Oberîsterreich,146
Zeiselmauer-Wolfpassing,3423,48.334,16.2102,Niederîsterreich,145
Weerberg,6133,47.3455,11.6922,Tirol,145
Steindorf am Ossiacher See,9551,46.7318,14.1825,KÑrnten,145
Angern an der March,2252,48.4,16.8,Niederîsterreich,145
St. Georgen am Ybbsfelde,3304,48.1167,14.9167,Niederîsterreich,144
Pfarrwerfen,5450,47.4667,13.1833,Salzburg,144
Bad HÑring,6323,47.5107,12.1191,Tirol,144
Altenfelden,4120,48.5007,13.9802,Oberîsterreich,143
Reichenau an der Rax,2651,47.6779,15.8014,Niederîsterreich,142
Kînigstetten,3433,48.302,16.1449,Niederîsterreich,142
Zellerndorf,2051,48.7,15.9167,Niederîsterreich,140
Payerbach,2640,47.6606,15.9408,Niederîsterreich,140
Dietach,4407,48.0427,14.4213,Oberîsterreich,140
Wolfern,4493,48.1227,14.3651,Oberîsterreich,139
Ludersdorf-Wilfersdorf,8063,47.1167,15.5833,Steiermark,139
Scharten,4612,48.2605,13.9773,Oberîsterreich,138
Piesendorf,5721,47.2833,12.7167,Salzburg,138
Rappottenstein,3911,48.5528,15.0955,Niederîsterreich,138
Ottenschlag,3631,48.4361,15.1278,Niederîsterreich,138
Bludesch,6719,47.2,9.7331,Vorarlberg,138
Andau,7163,47.7744,17.0329,Burgenland,138
Rabenstein an der Pielach,3203,48.0981,15.509,Niederîsterreich,137
Neuhaus am Klausenbach,8384,46.8647,16.0789,Burgenland,137
Frauenstein,9300,46.778,14.3445,KÑrnten,137
Liebenau,3925,48.4833,14.9833,Niederîsterreich,136
Mortantsch,8160,47.2395,15.5649,Steiermark,136
Bad Sauerbrunn,7202,47.7744,16.3284,Burgenland,136
Vils,6682,47.55,10.6333,Tirol,135
Tarrenz,6464,47.2667,10.7833,Tirol,135
Meiningen,6812,47.2989,9.5786,Vorarlberg,135
Oberperfuss,6173,47.2333,11.25,Tirol,135
Behamberg,4441,47.9942,14.5178,Niederîsterreich,135
Arzl im Pitztal,6471,47.1833,10.75,Tirol,134
Kîttmannsdorf,9071,46.5667,14.2,KÑrnten,133
Herzogsdorf,4101,48.3901,14.089,Oberîsterreich,133
Vandans,6773,47.0957,9.8652,Vorarlberg,132
Petzenkirchen,3252,48.1333,15.15,Niederîsterreich,132
Niedernsill,5722,47.284,12.6045,Salzburg,132
Lannach,8502,46.9611,15.3183,Steiermark,132
Langschlag,3921,48.5667,14.8667,Niederîsterreich,132
Eben im Pongau,5531,47.4,13.4,Salzburg,132
Windhaag bei Freistadt,4263,48.6167,14.6,Oberîsterreich,131
Stronsdorf,2153,48.6481,16.3339,Niederîsterreich,131
Spannberg,2244,48.4639,16.7365,Niederîsterreich,131
Sankt Lambrecht,8812,47.0833,14.3,Steiermark,131
MÅnchendorf,2482,48.0333,16.3833,Niederîsterreich,131
Flachau,5542,47.3667,13.4,Salzburg,131
RÅstorf,4690,48.0667,13.7667,Oberîsterreich,130
Ried im Traunkreis,4551,48.0167,14.0333,Oberîsterreich,130
Lichtenegg,2812,47.5583,16.3314,Burgenland,130
Grafenstein,9131,46.6167,14.4833,KÑrnten,130
Blons,6723,47.2233,9.8341,Vorarlberg,130
Maria Alm am Steinernen Meer,5761,47.4,12.9667,Salzburg,129
Tillmitsch,8430,46.8,15.4833,Steiermark,128
Tumeltsham,4911,48.2427,13.5093,Oberîsterreich,128
Neumarkt an der Ybbs,3370,48.1438,15.0606,Niederîsterreich,128
Hochneukirchen-Gschaidt,2852,47.4207,16.2199,Burgenland,128
Kaltenleutgeben,2391,48.1165,16.1996,Niederîsterreich,128
Zwettl an der Rodl,4180,48.5027,14.1971,Oberîsterreich,127
Steegen,4722,48.373,13.7414,Oberîsterreich,127
Metnitz,8850,47.05,14.2,KÑrnten,127
Ellmau,6352,47.5138,12.2994,Tirol,127
Griffen,9112,46.6833,14.75,KÑrnten,127
Absdorf,3462,48.3912,16.0324,Niederîsterreich,127
Albersdorf-Prebuch,8181,47.1667,15.5667,Steiermark,127
Hornstein,2491,47.8656,16.3786,Burgenland,126
Frauental an der La·nitz,8523,46.8333,15.2667,Steiermark,126
Weikendorf,2253,48.3444,16.7665,Niederîsterreich,125
Steinhaus,4641,47.9878,14.0137,Oberîsterreich,125
Allentsteig,3804,48.7,15.3,Niederîsterreich,125
Tulbing,3001,48.2654,16.0852,Niederîsterreich,124
Rennweg am Katschberg,9862,46.976,13.6111,KÑrnten,124
Neuhofen im Innkreis,4912,48.1907,13.4866,Oberîsterreich,124
Judenau-Baumgarten,3441,48.2847,16.009,Niederîsterreich,124
Achau,2481,48.0803,16.3861,Niederîsterreich,124
Schwoich,6334,47.546,12.1405,Tirol,123
Ravelsbach,3720,48.5667,15.85,Niederîsterreich,123
Gro·steinbach,8264,47.108,15.8807,Steiermark,123
Wienerwald,2392,48.1125,16.1221,Niederîsterreich,122
Kirchham,4656,47.9819,13.8217,Oberîsterreich,122
Fiss,6533,47.05,10.6167,Tirol,122
Rutzenham,4690,48.0667,13.7667,Oberîsterreich,121
